City,AustinTime,AustinDist,HoustonTime,HoustonDist
wolters village,12269,3 hours 24 mins,16734,4 hours 39 mins
climax,13870,3 hours 51 mins,15347,4 hours 16 mins
mckinney,12762,3 hours 33 mins,14239,3 hours 57 mins
new caney,10716,2 hours 59 mins,1860,31 mins
bransford,11704,3 hours 15 mins,14523,4 hours 2 mins
grapevine,11822,3 hours 17 mins,13778,3 hours 50 mins
lochridge,10684,2 hours 58 mins,2344,39 mins
oklahoma,4457,1 hour 14 mins,13044,3 hours 37 mins
livingston,13094,3 hours 38 mins,4238,1 hour 11 mins
cedar lake,11877,3 hours 18 mins,4336,1 hour 12 mins
la grange,4373,1 hour 13 mins,5609,1 hour 33 mins
corpus christi,11396,3 hours 10 mins,11761,3 hours 16 mins
lago vista,2756,46 mins,11248,3 hours 7 mins
irving,11490,3 hours 12 mins,13380,3 hours 43 mins
bastrop,2529,42 mins,7142,1 hour 59 mins
houston heights,9613,2 hours 40 mins,573,10 mins
vanderpool,9299,2 hours 35 mins,15611,4 hours 20 mins
oak hill,875,15 mins,9467,2 hours 38 mins
benbrook,10737,2 hours 59 mins,14369,3 hours 59 mins
port aransas,13534,3 hours 46 mins,13523,3 hours 45 mins
freeport,12430,3 hours 27 mins,3846,1 hour 4 mins
south side place,10466,2 hours 54 mins,1188,20 mins
shiloh,8832,2 hours 27 mins,8865,2 hours 28 mins
texarkana,20168,5 hours 36 mins,17700,4 hours 55 mins
lewisville,12262,3 hours 24 mins,13954,3 hours 53 mins
westwood park,716,12 mins,9579,2 hours 40 mins
junction,8711,2 hours 25 mins,15825,4 hours 24 mins
highland,868,14 mins,9364,2 hours 36 mins
mcneil,1379,23 mins,9916,2 hours 45 mins
karnack,19268,5 hours 21 mins,14044,3 hours 54 mins
marble falls,3367,56 mins,11954,3 hours 19 mins
katy,7997,2 hours 13 mins,1782,30 mins
tarrant,10653,2 hours 58 mins,14210,3 hours 57 mins
college station,7031,1 hour 57 mins,5519,1 hour 32 mins
baytown,11031,3 hours 4 mins,1726,29 mins
burnett,3605,1 hour 0 mins,12096,3 hours 22 mins
jollyville,1373,23 mins,9906,2 hours 45 mins
cinco ranch,8436,2 hours 21 mins,1933,32 mins
luling,3141,52 mins,7359,2 hours 3 mins
addison,11691,3 hours 15 mins,13382,3 hours 43 mins
hidden hill,12641,3 hours 31 mins,13957,3 hours 53 mins
san benito,17583,4 hours 53 mins,18293,5 hours 5 mins
amarillo,28063,7 hours 48 mins,32656,9 hours 4 mins
tomball,9030,2 hours 31 mins,2237,37 mins
trophy club,12079,3 hours 21 mins,14286,3 hours 58 mins
fletcher,14750,4 hours 6 mins,5445,1 hour 31 mins
roland,13190,3 hours 40 mins,14667,4 hours 4 mins
hockley,7649,2 hours 7 mins,2279,38 mins
copper canyon,13044,3 hours 37 mins,14906,4 hours 8 mins
