Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
2015-01-07,2048,248,93,58,48,41,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-07
2015-01-08,1624,184,71,53,46,40,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-08
2015-01-09,2357,320,98,62,53,37,10,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-09
2015-01-10,1922,161,90,18,42,53,5,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-10
2015-01-11,2136,275,102,52,49,41,9,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-11
2015-01-12,2313,243,133,97,38,47,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-12
2015-01-13,1706,196,73,63,46,39,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-13
2015-01-14,1822,235,77,53,51,38,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-14
2015-01-15,1793,178,83,53,43,45,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-15
2015-01-16,2500,264,85,134,45,32,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-16
2015-01-17,1288,136,58,64,41,39,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-17
2015-01-18,2789,294,121,93,45,41,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-18
2015-01-19,2048,250,88,86,47,37,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-19
2015-01-20,1758,204,64,68,49,35,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-20
2015-01-21,2067,245,89,63,48,39,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-21
2015-01-22,1913,124,58,64,39,41,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-22
2015-01-23,2144,239,107,71,43,44,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-23
2015-01-24,2166,171,121,86,32,51,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-24
2015-01-25,2947,327,158,62,44,48,8,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-25
2015-01-26,2188,246,99,65,46,42,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-26
2015-01-27,1884,217,83,79,45,39,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-27
2015-01-28,1755,233,60,80,52,30,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-28
2015-01-29,2791,314,97,123,48,33,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-29
2015-01-30,1768,239,51,88,54,26,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-30
2015-01-31,2453,257,103,112,43,39,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-01-31
2015-02-01,2043,167,112,79,34,51,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-01
2015-02-02,1789,194,77,87,43,38,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-02
2015-02-03,1705,216,60,85,50,31,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-03
2015-02-04,1896,206,74,83,45,37,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-04
2015-02-05,1638,175,73,69,43,40,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-05
2015-02-06,2229,270,94,71,49,38,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-06
2015-02-07,2699,313,74,116,53,28,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-07
2015-02-08,1837,163,95,58,37,49,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-08
2015-02-09,1798,169,85,91,37,42,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-09
2015-02-10,2257,303,86,71,53,34,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-10
2015-02-11,1821,206,93,45,45,45,10,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-11
2015-02-12,1300,141,61,37,45,44,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-12
2015-02-13,2344,284,105,68,48,40,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-13
2015-02-14,1999,298,102,57,51,39,10,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-14
2015-02-15,1966,223,105,40,45,47,8,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-15
2015-02-16,1757,199,82,63,45,41,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-16
2015-02-17,2090,254,103,39,48,44,7,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-17
2015-02-18,1357,110,67,81,32,44,24,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-18
2015-02-19,1564,227,39,79,58,22,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-19
2015-02-20,1539,197,49,77,51,29,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-20
2015-02-21,1300,173,48,50,52,33,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-21
2015-02-22,2759,245,153,84,36,51,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-22
2015-02-23,1839,194,77,92,42,38,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-23
2015-02-24,1446,173,49,84,47,30,23,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-24
2015-02-25,1631,185,59,77,47,34,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-25
2015-02-26,1959,236,75,73,49,35,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-26
2015-02-27,2201,230,99,66,44,43,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-27
2015-02-28,1422,115,38,29,50,37,13,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-02-28
2015-03-01,2089,233,102,54,45,44,10,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-01
2015-03-02,1889,192,79,103,41,38,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-02
2015-03-03,1294,152,46,72,46,32,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-03
2015-03-04,1860,233,64,91,50,31,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-04
2015-03-05,2755,276,81,131,47,31,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-05
2015-03-06,2136,216,110,74,40,46,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-06
