
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1951-9-1,102,88,75,70,68,65,82,52,31,29.87,29.83,29.77,15,15,15,10,6,,0.00,0,,176
1951-9-2,102,88,75,71,68,66,74,50,32,29.90,29.86,29.82,15,15,15,12,7,,0.00,0,,171
1951-9-3,100,89,78,73,70,66,77,57,32,29.97,29.92,29.87,15,15,15,16,8,,0.00,0,,172
1951-9-4,98,86,73,73,70,65,87,62,36,30.02,29.96,29.87,15,15,15,17,6,,0.00,0,,166
1951-9-5,98,86,75,75,70,64,91,62,34,29.99,29.92,29.84,15,15,15,15,8,,0.00,0,,169
1951-9-6,100,88,75,74,71,67,94,61,35,30.00,29.93,29.88,15,15,15,15,9,,0.00,0,,175
1951-9-7,99,87,75,75,70,66,85,61,35,30.04,29.97,29.88,15,15,15,21,7,,0.00,0,Rain,152
1951-9-8,91,82,73,75,71,68,94,77,45,30.00,29.95,29.88,15,13,5,14,5,,1.25,0,Rain,104
1951-9-9,96,84,73,74,71,66,100,69,38,29.91,29.84,29.74,15,13,5,17,8,,0.00,0,Fog,162
1951-9-10,90,79,68,74,70,66,100,75,48,30.00,29.87,29.82,15,14,5,30,10,,0.51,0,Rain,132
1951-9-11,91,82,73,75,73,71,97,77,53,29.91,29.86,29.80,15,14,10,20,8,,0.03,0,Rain,152
1951-9-12,87,81,75,77,74,72,100,87,63,29.85,29.81,29.76,15,13,10,18,9,,0.25,0,Rain,154
1951-9-13,78,74,69,76,70,66,100,93,87,29.97,29.90,29.83,15,10,3,20,10,,2.02,,Fog-Rain-Thunderstorm,31
1951-9-14,75,72,70,72,71,69,100,95,85,30.08,30.02,29.97,10,7,3,16,11,,0.89,,Rain,52
1951-9-15,82,76,71,71,69,65,100,80,58,30.08,30.04,29.98,15,12,2,10,7,,0.08,,Fog-Rain,61
1951-9-16,77,70,62,64,60,57,84,72,56,30.18,30.12,30.05,15,15,15,29,11,,0.00,0,,7
1951-9-17,80,68,57,58,54,49,93,65,34,30.16,30.10,30.02,15,15,15,15,8,,0.00,0,,7
1951-9-18,84,70,57,56,52,47,87,57,27,30.13,30.06,29.99,15,15,15,8,5,,0.00,0,,10
1951-9-19,86,70,55,61,55,52,93,60,31,30.05,30.00,29.92,15,15,10,15,5,,0.00,0,,182
1951-9-20,88,74,60,64,58,50,96,62,28,29.98,29.94,29.88,15,14,5,12,5,,0.00,0,Fog,167
1951-9-21,91,78,66,73,67,60,87,70,48,29.94,29.90,29.84,15,12,10,20,6,,0.00,0,,148
1951-9-22,87,76,64,74,65,55,96,70,46,30.05,29.97,29.92,15,13,8,16,7,,0.00,0,Rain,80
1951-9-23,86,78,71,74,71,65,96,85,63,30.03,29.99,29.96,15,12,1,12,5,,0.02,0,Fog-Rain,146
1951-9-24,84,80,73,75,74,71,96,89,67,30.04,29.99,29.97,15,12,7,17,5,,0.79,,Rain-Thunderstorm,170
1951-9-25,89,80,69,78,73,67,100,86,55,30.02,29.97,29.88,15,11,4,26,8,,0.55,0,Fog-Rain-Thunderstorm,165
1951-9-26,89,78,68,75,72,68,100,83,59,29.95,29.85,29.75,15,11,5,15,7,,0.00,0,Fog,197
1951-9-27,90,82,75,75,73,71,97,79,55,30.00,29.89,29.81,15,13,9,16,10,,0.00,0,,164
1951-9-28,81,75,68,74,71,64,100,86,72,30.17,30.10,30.00,15,9,0,18,8,,0.00,0,Fog,49
1951-9-29,86,75,64,69,64,60,93,73,51,30.19,30.12,30.05,15,14,10,12,8,,0.00,0,,64
1951-9-30,89,76,64,68,64,61,100,70,40,30.13,30.07,29.99,15,13,8,7,3,,0.00,0,,146
