
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1951-4-1,81,69,55,62,57,39,90,68,44,30.02,29.84,29.77,15,14,10,26,11,,0.19,0,Rain-Thunderstorm,177
1951-4-2,70,56,42,37,32,27,76,45,21,30.20,30.11,30.05,15,15,15,18,10,,0.00,0,,357
1951-4-3,73,59,45,38,34,29,66,43,20,30.20,30.11,30.01,15,14,10,10,5,,0.00,0,,119
1951-4-4,79,62,44,56,46,39,93,58,28,30.04,29.93,29.82,15,15,15,23,10,,0.00,0,,173
1951-4-5,82,72,61,65,60,55,100,75,44,29.83,29.75,29.67,15,12,2,18,11,,0.11,0,Fog-Rain,174
1951-4-6,71,65,59,66,60,52,93,83,59,29.78,29.71,29.65,15,13,5,12,7,,0.35,0,Rain-Thunderstorm,230
1951-4-7,71,62,53,52,45,37,81,59,30,29.89,29.84,29.76,15,15,10,20,12,,0.00,0,Rain,336
1951-4-8,75,62,48,47,41,33,86,51,32,29.96,29.87,29.79,15,15,10,15,7,,0.00,0,,85
1951-4-9,73,62,51,53,47,41,89,62,40,29.86,29.81,29.75,15,15,15,17,5,,0.00,0,Rain-Thunderstorm,32
1951-4-10,82,64,46,58,50,43,93,61,34,29.85,29.74,29.61,15,13,4,24,8,,0.00,0,,224
1951-4-11,64,54,44,41,32,25,74,46,25,30.14,30.04,29.86,15,14,7,22,17,,0.00,0,,328
1951-4-12,66,52,37,32,28,23,73,40,22,30.20,30.14,30.09,15,15,15,20,9,,0.00,0,,297
1951-4-13,75,58,42,39,27,12,55,34,13,30.16,30.06,29.95,15,14,10,15,8,,0.00,0,,266
1951-4-14,87,68,50,61,50,32,84,55,22,29.96,29.85,29.70,15,15,15,22,11,,0.00,0,,190
1951-4-15,81,72,60,66,57,36,84,65,39,29.99,29.82,29.76,15,15,15,26,13,,0.00,0,,187
1951-4-16,70,59,48,37,33,27,47,36,28,30.19,30.10,30.02,15,15,15,23,18,,0.00,0,,32
1951-4-17,75,62,48,53,42,31,75,47,37,30.14,30.02,29.87,15,15,15,16,11,,0.00,0,,118
1951-4-18,84,70,57,65,60,52,90,70,48,29.91,29.78,29.66,15,14,8,20,10,,0.00,0,,190
1951-4-19,98,78,57,68,58,51,93,55,22,29.79,29.74,29.68,15,15,10,10,6,,0.00,0,,168
1951-4-20,87,76,66,67,65,63,97,73,48,29.88,29.81,29.72,15,15,15,21,9,,0.00,0,,135
1951-4-21,89,78,66,69,60,43,100,64,21,29.95,29.89,29.78,15,12,5,28,8,,0.06,0,Fog-Rain-Thunderstorm,319
1951-4-22,73,65,57,56,52,47,90,62,46,30.27,30.13,29.95,15,15,15,25,12,,0.00,0,,24
1951-4-23,81,67,53,57,49,41,73,55,39,30.30,30.20,30.08,15,15,15,17,11,,0.00,0,,74
1951-4-24,86,73,60,66,62,58,93,71,44,30.10,29.99,29.88,15,14,10,23,13,,0.00,0,,171
1951-4-25,79,72,66,69,67,65,97,84,66,30.01,29.94,29.86,15,14,8,17,10,,0.26,0,Rain-Thunderstorm,153
1951-4-26,84,76,69,71,68,63,100,78,56,30.05,30.01,29.95,15,12,5,15,8,,0.00,0,Fog,132
1951-4-27,84,76,68,67,65,63,93,73,51,30.08,30.04,30.00,15,15,10,17,13,,0.00,0,,150
1951-4-28,82,76,69,66,64,62,90,71,49,30.05,29.96,29.87,15,15,15,21,15,,0.00,0,,153
1951-4-29,84,75,66,68,66,64,96,74,49,29.87,29.74,29.62,15,15,15,21,14,,0.07,0,Rain,167
1951-4-30,84,78,71,68,66,65,84,74,56,29.66,29.60,29.53,15,13,10,24,18,,0.00,0,,152
