
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1965-1-1,73,70,66,65,64,63,93,84,71,30.13,30.06,29.98,10,9,7,21,13,,0.00,,,169
1965-1-2,70,62,53,66,60,49,96,90,86,30.19,30.07,30.02,15,10,7,21,10,,0.03,,Fog-Rain,170
1965-1-3,52,49,46,47,44,41,90,84,77,30.34,30.28,30.19,15,12,10,20,16,,0.01,,Rain,3
1965-1-4,55,52,48,49,47,46,96,88,77,30.36,30.32,30.26,10,7,2,10,7,,0.00,0,Fog,112
1965-1-5,57,52,46,54,50,45,100,91,83,30.29,30.26,30.21,8,6,1,8,5,,0.00,0,Fog,186
1965-1-6,71,64,57,62,58,54,93,83,66,30.20,30.12,30.05,10,8,2,14,8,,0.00,0,Fog,201
1965-1-7,75,68,62,64,60,55,97,79,53,30.06,29.99,29.89,15,11,5,18,13,,0.00,0,Fog,195
1965-1-8,75,70,66,65,63,60,90,79,58,29.92,29.88,29.81,15,12,10,21,15,,0.00,,,187
1965-1-9,71,57,39,66,42,29,93,74,56,30.30,30.11,29.91,15,12,7,22,14,,0.08,0,Rain,338
1965-1-10,41,37,33,31,29,25,82,74,62,30.42,30.35,30.32,15,15,15,21,12,,0.00,0,,4
1965-1-11,44,38,32,36,33,29,89,82,71,30.35,30.23,30.12,15,11,7,7,6,,0.00,0,,144
1965-1-12,55,44,34,49,40,32,93,86,74,30.14,30.09,30.04,7,6,1,9,5,,0.00,0,Fog,189
1965-1-13,61,54,48,51,46,40,96,75,52,30.24,30.16,30.08,10,8,3,17,5,,0.00,,Fog,20
1965-1-14,64,54,44,47,42,37,77,68,52,30.21,30.17,30.09,15,11,10,12,8,,0.00,0,,8
1965-1-15,71,58,44,47,41,34,89,65,31,30.28,30.11,30.05,15,11,7,18,7,,0.00,0,,329
1965-1-16,48,42,35,32,20,12,62,46,28,30.65,30.54,30.36,15,14,10,20,13,,0.00,0,,9
1965-1-17,50,38,27,22,18,13,66,47,31,30.68,30.57,30.39,15,15,15,13,8,,0.00,0,,100
1965-1-18,61,48,36,32,27,21,59,47,34,30.37,30.33,30.29,15,14,7,14,7,,0.00,0,,321
1965-1-19,64,50,36,44,31,24,67,51,34,30.31,30.17,30.01,15,14,8,16,8,,0.00,0,,236
1965-1-20,69,57,45,55,50,44,97,84,61,30.06,30.02,29.98,15,10,3,12,5,,0.00,,Fog,88
1965-1-21,63,60,59,62,59,56,100,97,90,30.04,29.96,29.83,15,8,1,16,11,,0.90,,Fog-Rain-Thunderstorm,146
1965-1-22,70,64,57,60,57,48,97,82,46,29.83,29.77,29.69,15,8,0,13,8,,0.00,,Fog-Rain-Thunderstorm,210
1965-1-23,59,56,48,53,37,29,87,53,36,30.03,29.86,29.73,15,14,10,21,12,,0.00,0,,284
1965-1-24,62,50,39,36,31,28,68,53,32,30.13,30.02,29.90,15,11,4,17,8,,0.00,0,,213
1965-1-25,75,58,42,57,41,15,92,61,14,29.89,29.77,29.66,10,9,4,21,11,,0.00,0,,205
1965-1-26,63,54,45,33,25,14,63,37,15,30.30,30.17,29.95,15,10,4,21,17,,0.00,0,,356
1965-1-27,57,46,34,31,28,24,79,54,30,30.45,30.36,30.29,15,15,15,8,6,,0.00,0,,100
1965-1-28,64,52,39,36,32,27,65,49,35,30.27,30.12,29.98,15,14,10,18,9,,0.00,0,,213
1965-1-29,73,57,41,36,33,24,73,47,20,29.98,29.86,29.69,15,15,15,9,7,,0.00,0,,205
1965-1-30,57,52,41,32,27,18,60,42,21,30.21,29.92,29.65,15,14,10,25,11,,0.00,0,,2
1965-1-31,57,44,30,42,30,24,79,62,39,30.21,30.00,29.73,15,13,10,20,9,,0.00,0,,203
1965-2-1,53,50,39,50,33,18,89,58,32,30.18,29.92,29.68,15,12,10,23,16,,0.00,0,,348
1965-2-2,46,38,30,24,18,13,50,44,35,30.36,30.29,30.24,10,10,10,17,12,,0.00,,,49
1965-2-3,50,46,43,38,32,25,66,59,49,30.36,30.31,30.28,10,10,10,9,5,,0.00,,Rain,91
1965-2-4,48,44,41,42,39,34,96,86,63,30.40,30.36,30.32,10,6,2,17,11,,0.33,,Fog-Rain,50
1965-2-5,46,43,41,44,40,36,97,88,76,30.35,30.20,30.06,10,6,2,10,8,,0.07,,Fog-Rain,18
1965-2-6,57,52,46,55,50,45,100,96,93,29.99,29.89,29.79,7,4,0,12,5,,0.01,,Fog,236
1965-2-7,61,58,55,61,57,54,100,98,90,29.93,29.85,29.78,7,5,1,15,9,,0.00,,Fog-Rain,216
1965-2-8,61,54,45,61,53,43,100,98,93,30.05,29.97,29.93,10,4,0,26,11,,0.07,,Fog-Rain,15
1965-2-9,64,54,44,45,43,38,96,76,38,29.88,29.83,29.78,15,10,2,16,13,,0.47,0,Fog-Rain-Thunderstorm,330
1965-2-10,60,53,46,53,48,45,100,86,64,29.95,29.88,29.81,15,10,0,17,5,,0.00,0,Fog-Rain,152
1965-2-11,66,60,51,56,45,28,100,68,31,29.95,29.83,29.72,15,9,0,21,10,,0.01,0,Fog,348
1965-2-12,44,38,33,34,26,22,78,62,43,30.26,30.16,30.04,15,15,15,18,16,,0.00,0,,27
1965-2-13,46,40,35,27,25,21,72,56,36,30.29,30.23,30.19,15,15,15,23,12,,0.00,0,,41
1965-2-14,53,42,30,30,28,26,92,64,38,30.24,30.14,30.02,15,15,15,16,8,,0.00,0,,230
1965-2-15,52,44,36,47,38,31,86,77,67,30.13,30.08,30.04,15,11,6,14,8,,0.00,0,Rain,99
1965-2-16,50,48,44,49,47,43,97,95,93,30.20,30.16,30.09,10,6,3,17,13,,0.66,,Fog-Rain,25
1965-2-17,52,48,43,46,43,41,97,90,80,30.25,30.20,30.15,8,5,3,21,16,,0.13,,Fog-Rain,22
1965-2-18,55,52,48,46,41,38,90,71,55,30.31,30.26,30.22,15,14,8,16,13,,0.00,,,345
1965-2-19,62,54,46,50,43,37,83,68,39,30.26,30.19,30.10,15,13,10,14,11,,0.00,,,316
1965-2-20,68,55,42,47,43,38,89,68,45,30.10,29.96,29.83,15,14,10,16,6,,0.00,0,,222
1965-2-21,66,56,45,46,42,34,93,68,45,30.22,30.02,29.86,15,13,10,21,9,,0.00,0,,60
1965-2-22,57,47,37,50,32,21,86,58,49,30.22,30.09,29.85,15,14,10,21,15,,0.00,0,,106
1965-2-23,66,54,33,60,51,27,100,90,78,29.81,29.68,29.52,15,9,4,21,16,,0.04,,Fog-Rain,175
1965-2-24,42,33,24,21,18,15,81,59,37,30.27,30.10,29.91,15,12,5,32,24,,0.01,0,Snow,333
1965-2-25,61,47,33,30,21,16,61,41,20,30.43,30.36,30.32,15,11,5,14,8,,0.00,0,,301
1965-2-26,64,50,37,42,31,26,67,49,26,30.38,30.31,30.20,15,14,10,18,7,,0.00,0,,197
1965-2-27,70,58,46,52,48,44,97,75,49,30.19,30.02,29.84,15,14,8,17,8,,0.00,0,,186
1965-2-28,72,66,59,60,59,56,93,84,66,29.80,29.64,29.50,15,12,10,21,15,,0.00,0,,181
1965-3-1,62,58,46,58,50,32,100,81,51,29.91,29.66,29.49,15,9,0,28,12,,0.01,0,Fog-Rain,318
1965-3-2,45,40,35,27,24,22,67,54,44,30.10,30.02,29.94,15,15,15,26,21,,0.00,0,,2
1965-3-3,45,38,32,31,26,22,92,67,42,30.23,30.15,30.05,15,12,1,18,15,,0.02,0,Snow,359
1965-3-4,52,40,28,18,17,15,64,41,24,30.30,30.23,30.17,15,15,15,24,13,,0.00,0,,307
1965-3-5,60,48,37,24,21,18,50,36,21,30.16,30.10,30.02,15,14,10,26,13,,0.00,0,,308
1965-3-6,64,52,39,30,26,22,63,41,19,30.18,30.12,30.09,15,15,15,21,12,,0.00,0,,326
